start,wait,tutor_time,wall_time
19/08/2015 18:47,1200,101,NULL
19/08/2015 18:28,157,4816,4935
19/08/2015 00:39,17821,169,307
19/08/2015 00:42,8866236,95,115
19/08/2015 00:42,17869,95,115
13/10/2017 10:08,197,627,3016
13/10/2017 10:08,211,627,3016
13/10/2017 10:06,144,385,10316
13/10/2017 11:12,810,1370,6758
13/10/2017 11:12,30,1370,6758
13/10/2017 11:18,1216,605,6387
13/10/2017 11:18,4226,605,6387
13/10/2017 10:12,439,903,10569
13/10/2017 10:12,1922,903,10569
13/10/2017 10:12,425,903,10569
13/10/2017 10:12,3712,903,10569
13/10/2017 10:12,1383,903,10569
13/10/2017 10:16,652,1101,8467
13/10/2017 11:04,1757,4910,4929
13/10/2017 11:04,625,4910,4929
13/10/2017 10:34,1703,561,7341
13/10/2017 10:34,1728,561,7341
13/10/2017 10:34,1741,561,7341
13/10/2017 10:34,1680,561,7341
13/10/2017 11:52,1562,340,4193
13/10/2017 11:28,1569,68,5556
13/10/2017 11:36,1501,245,245
13/10/2017 11:52,1817,2633,2633
13/10/2017 13:06,2940,89,89
13/10/2017 13:08,3752,18,19
13/10/2017 12:39,2846,1322,1450
13/10/2017 12:39,642,1322,1450
13/10/2017 12:39,16,1322,1450
13/10/2017 12:39,589,1322,1450
13/10/2017 12:39,2486,1322,1450
13/10/2017 13:09,3033,333,333
13/10/2017 13:17,2133,130,131
13/10/2017 13:02,3660,233,833
17/10/2017 16:39,295,3374,3375
17/10/2017 16:41,136,2130,4959
17/10/2017 15:45,30,1096,4536
17/10/2017 15:47,40,699,699
17/10/2017 16:29,59,1830,13871
17/10/2017 16:57,24,655,655
17/10/2017 17:00,92,16,11997
17/10/2017 17:40,1936,1494,1495
17/10/2017 17:41,289,1851,9276
17/10/2017 17:41,2549,1851,9276
17/10/2017 17:41,1304,1851,9276
17/10/2017 17:41,7012,1851,9276
17/10/2017 17:41,525,1851,9276
17/10/2017 17:14,727,2815,2815
17/10/2017 18:49,5521,68,5001
17/10/2017 19:11,3056,210,3809
17/10/2017 20:19,7388,15,16
17/10/2017 20:19,7689,14,15
17/10/2017 20:20,7138,12,12
17/10/2017 19:13,4910,21,22
17/10/2017 19:14,4740,15,16
17/10/2017 19:46,1816,1494,1495
17/10/2017 19:18,12669,401,3649
17/10/2017 19:18,2947,401,3649
17/10/2017 19:24,2189,635,3462
17/10/2017 19:33,1378,768,768
17/10/2017 10:29,1560,815,2324
17/10/2017 10:29,1534,815,2324
17/10/2017 10:03,68,1256,3223
17/10/2017 10:06,280,1263,1264
17/10/2017 10:38,2136,94,1245
17/10/2017 10:40,2208,713,4312
17/10/2017 11:10,551,770,2350
17/10/2017 10:48,347,1188,1189
17/10/2017 10:54,42,167,3158
17/10/2017 11:52,521,531,3668
17/10/2017 11:32,1032,121,1025
